symbol,name,index,industry,price,monthly_high,retracement,pe_ratio,pb_ratio,market_cap,eastmoney_url
301325,曼恩斯特,4201,未知,78.94,81.69,0.03366385114457094,420.5,3.27,9419213524.0,https://quote.eastmoney.com/concept/sz301325.html?from=classic
300474,景嘉微,5089,未知,267.73,284.53,0.05904474044916162,-263.93,6.65,46246575043.0,https://quote.eastmoney.com/concept/sz300474.html?from=classic
300869,康泰医学,4531,未知,19.71,22.77,0.13438735177865607,112.58,4.24,7401210836.0,https://quote.eastmoney.com/concept/sz300869.html?from=classic
001388,信通电子,2727,未知,48.53,70.0,0.3067142857142857,74.76,3.72,7550400000.0,https://quote.eastmoney.com/concept/sz001388.html?from=classic
002445,中南文化,3871,未知,19.36,19.99,0.03151575787893942,50.85,2.77,6202945656.0,https://quote.eastmoney.com/concept/sz002445.html?from=classic
301269,华大九天,4919,未知,125.36,134.43,0.0674700587666444,10803.39,13.17,66287760455.0,https://quote.eastmoney.com/concept/sz301269.html?from=classic
833171,国航远洋,4937,未知,11.19,16.98,0.34098939929328625,-122.56,4.44,6031724940.0,https://quote.eastmoney.com/concept/sh833171.html?from=classic
688656,浩欧博,2809,未知,124.32,159.45,0.22031984948259642,326.71,9.76,7951472232.0,https://quote.eastmoney.com/concept/sh688656.html?from=classic
300266,兴源环境,1980,未知,55.55,61.78,0.10084169634185827,-42.95,67.99,4443888918.0,https://quote.eastmoney.com/concept/sz300266.html?from=classic
002448,中原内配,1915,未知,57.75,58.0,0.004310344827586207,13.45,1.7,5972357907.0,https://quote.eastmoney.com/concept/sz002448.html?from=classic
688222,成都先导,4725,未知,23.31,26.82,0.13087248322147657,82.55,6.67,9339850800.0,https://quote.eastmoney.com/concept/sh688222.html?from=classic
688380,中微半导,4820,未知,33.02,34.93,0.05468079015173194,92.88,4.37,12787658100.0,https://quote.eastmoney.com/concept/sh688380.html?from=classic
003007,直真科技,146,未知,53.63,57.16,0.061756473058082476,-48.8,4.98,4200560000.0,https://quote.eastmoney.com/concept/sz003007.html?from=classic
688680,海优新材,360,未知,51.84,56.33,0.07970885851233792,-18.5,3.09,4249748039.0,https://quote.eastmoney.com/concept/sh688680.html?from=classic
688139,海尔生物,4378,未知,37.56,39.27,0.04354469060351415,25.21,2.58,11118799205.0,https://quote.eastmoney.com/concept/sh688139.html?from=classic
002575,群兴玩具,5249,未知,39.35,44.58,0.11731718259309101,-90.22,6.59,5431365000.0,https://quote.eastmoney.com/concept/sz002575.html?from=classic
688119,中钢洛耐,1112,未知,4.72,4.76,0.008403361344537823,65.44,1.72,5130000000.0,https://quote.eastmoney.com/concept/sh688119.html?from=classic
871396,常辅股份,4455,未知,63.42,80.05,0.20774515927545278,93.49,7.59,2508375310.0,https://quote.eastmoney.com/concept/sh871396.html?from=classic
603255,鼎际得,3875,未知,33.22,33.72,0.01482799525504152,-325.5,2.78,4388340344.0,https://quote.eastmoney.com/concept/sh603255.html?from=classic
835179,凯德石英,5007,未知,38.8,44.94,0.1366266132621273,70.67,3.84,2820371400.0,https://quote.eastmoney.com/concept/sh835179.html?from=classic
301383,天键股份,1391,未知,61.38,63.33,0.03079109426811931,492.47,3.41,6854208936.0,https://quote.eastmoney.com/concept/sz301383.html?from=classic
002576,通达动力,2735,未知,25.82,29.06,0.11149346180316581,36.84,2.44,3141853000.0,https://quote.eastmoney.com/concept/sz002576.html?from=classic
300785,值得买,389,未知,130.83,137.12,0.04587222870478407,297.75,4.0,7558487786.0,https://quote.eastmoney.com/concept/sz300785.html?from=classic
300788,中信出版,2039,未知,35.77,36.77,0.027196083763937992,29.21,2.94,6339651510.0,https://quote.eastmoney.com/concept/sz300788.html?from=classic
300427,红相股份,3988,未知,24.72,26.25,0.05828571428571433,58.06,2.92,3595238507.0,https://quote.eastmoney.com/concept/sz300427.html?from=classic
002782,可立克,3046,未知,44.3,50.0,0.11400000000000006,27.45,3.98,8275555337.0,https://quote.eastmoney.com/concept/sz002782.html?from=classic
836433,大唐药业,3896,未知,27.31,31.37,0.1294230156200192,384.21,4.27,1980818331.0,https://quote.eastmoney.com/concept/sh836433.html?from=classic
002771,真视通,1000,未知,50.19,54.85,0.08495897903372841,-62.06,6.04,3937272157.0,https://quote.eastmoney.com/concept/sz002771.html?from=classic
002361,神剑股份,3784,未知,63.99,68.15,0.06104181951577408,141.24,3.05,6704796531.0,https://quote.eastmoney.com/concept/sz002361.html?from=classic
688356,键凯科技,5078,未知,98.46,118.67,0.1703042049380636,122.51,4.59,5821860693.0,https://quote.eastmoney.com/concept/sh688356.html?from=classic
688382,益方生物-U,5287,未知,39.97,49.68,0.19545088566827698,-98.23,13.66,23462760631.0,https://quote.eastmoney.com/concept/sh688382.html?from=classic
600929,雪天盐业,1498,未知,6.63,6.66,0.004504504504504542,64.51,1.2,9089542541.0,https://quote.eastmoney.com/concept/sh600929.html?from=classic
872541,铁大科技,3019,未知,31.05,36.39,0.14674361088211046,49.14,5.56,2337570000.0,https://quote.eastmoney.com/concept/sh872541.html?from=classic
600939,重庆建工,3958,未知,3.98,4.51,0.11751662971175163,-13.94,0.88,6941586024.0,https://quote.eastmoney.com/concept/sh600939.html?from=classic
688381,帝奥微,4198,未知,27.56,30.37,0.09252551860388548,-791.73,2.55,6665175000.0,https://quote.eastmoney.com/concept/sh688381.html?from=classic
002642,荣联科技,261,未知,41.31,43.15,0.042641946697566546,1648.2,4.99,5841754164.0,https://quote.eastmoney.com/concept/sz002642.html?from=classic
688378,奥来德,56,未知,81.56,83.3,0.020888355342136795,106.11,3.45,5730930118.0,https://quote.eastmoney.com/concept/sh688378.html?from=classic
