序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,板块信息
112,688567,孚能科技,12.51,8.41,0.97,374773.0,466371023.0,8.84,12.73,11.71,11.71,11.54,3.56,3.07,-37.74,1.51,15288519601.0,15288519601.0,0.0,-0.24,34.23,-23.3,电池
113,301608,博实结,75.2,8.36,5.8,43298.0,318507868.15,9.52,75.62,69.01,69.66,69.4,1.66,25.6,37.25,3.4,6692048000.0,1271621998.0,0.04,0.16,46.93,71.42,计算机设备
114,688226,威腾电气,26.11,8.34,2.01,43667.0,110254071.0,9.0,26.17,24.0,24.0,24.1,0.95,2.79,28.11,3.7,4086384193.0,4086384193.0,0.04,0.81,66.52,40.6,电网设备
115,003001,中岩大地,53.7,8.27,4.1,87832.0,465708785.2,9.98,54.56,49.61,50.4,49.6,1.54,12.0,139.85,5.79,6805502278.0,3929298810.0,0.24,1.32,147.58,199.16,工程咨询服务
116,301278,快可电子,37.83,8.21,2.87,50818.0,193713993.6,15.07,40.56,35.29,35.3,34.96,4.97,15.03,26.58,2.51,3153548143.0,1279045162.0,0.0,0.13,21.33,-34.72,光伏设备
117,301502,华阳智能,47.9,8.2,3.63,40114.0,188251020.93,10.68,49.0,44.27,44.35,44.27,2.66,28.11,81.39,3.35,2734299650.0,683580900.0,-0.1,-0.19,22.26,74.25,电机
118,300280,紫天科技,23.31,8.12,1.75,423317.0,959011614.04,13.03,23.31,20.5,21.46,21.56,0.9,26.38,334.66,3.09,3777752493.0,3740652879.0,0.09,0.65,85.0,-45.45,文化传媒
119,300623,捷捷微电,38.45,8.01,2.85,540151.0,2016528159.29,9.35,38.5,35.17,35.98,35.6,2.09,7.59,72.14,5.28,31993472886.0,27375929372.0,0.03,0.16,119.71,143.2,半导体
120,688582,芯动联科,53.49,7.95,3.94,80173.0,420641152.0,7.85,53.77,49.88,50.16,49.55,1.64,3.29,116.39,9.61,21428436336.0,13034336220.0,0.02,-0.15,64.84,38.79,电子元件
121,603310,巍华新材,19.88,7.93,1.46,133963.0,262723817.0,9.93,20.26,18.43,18.54,18.42,6.51,19.79,28.01,1.7,6865359200.0,1345647201.0,-0.05,0.05,31.48,17.01,化学原料
122,000913,钱江摩托,18.15,7.91,1.33,210111.0,374897280.14,9.51,18.43,16.83,16.9,16.82,2.06,4.56,15.36,2.1,9559078650.0,8368489924.0,0.0,0.11,14.44,55.26,交运设备
123,600594,益佰制药,4.24,7.89,0.31,793976.0,338705634.0,10.43,4.32,3.91,4.0,3.93,5.67,10.03,-14.89,1.27,3357772176.0,3357772176.0,-0.47,-0.47,30.86,-24.56,中药
124,835174,五新隧装,36.59,7.87,2.67,74795.0,266724182.41,10.91,37.5,33.8,33.9,33.92,1.42,8.63,26.29,4.38,3293418992.0,3172540048.0,0.33,0.19,130.71,85.64,工程机械
125,603988,中电电机,26.2,7.82,1.9,152120.0,389518212.0,10.49,26.68,24.13,24.13,24.3,1.25,6.47,-339.34,9.37,6162240000.0,6162240000.0,0.08,0.73,89.03,131.65,电机
126,835985,海泰新能,11.32,7.81,0.82,117785.0,130705970.89,9.24,11.45,10.48,10.62,10.5,1.83,8.76,16.1,2.5,3503270584.0,1522189974.0,0.18,0.0,122.4,30.57,光伏设备
127,002827,高争民爆,35.4,7.8,2.56,287578.0,1010000362.78,8.43,36.12,33.35,33.35,32.84,2.95,10.42,66.09,11.01,9770400000.0,9770360175.0,0.03,0.0,34.14,113.25,化学制品
