序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
3700,300088,长信科技,6.77,-0.73,-0.05,608459.0,414203884.86,2.2,6.89,6.74,6.83,6.82,0.7,2.49,42.55,1.99,16619840117.0,16537043478.0,0.0,0.0,47.49,2.27
3708,002003,伟星股份,13.4,-0.74,-0.1,94509.0,126371294.08,2.3,13.52,13.21,13.49,13.5,1.36,0.94,18.84,3.67,15663121350.0,13538028536.0,-0.07,-0.07,11.11,31.37
3716,300769,德方纳米,47.85,-0.75,-0.36,347957.0,1707676783.38,6.58,50.99,47.82,49.6,48.21,1.46,13.82,-12.24,2.21,13406997236.0,12046112994.0,0.06,-0.27,110.33,-21.6
3720,600320,振华重工,3.98,-0.75,-0.03,273975.0,109533791.0,1.5,4.02,3.96,4.0,4.01,0.88,0.82,36.33,1.38,20968046934.0,13221550691.0,-0.25,-0.25,9.64,21.71
3724,600435,北方导航,10.57,-0.75,-0.08,245121.0,263023748.0,3.94,10.96,10.54,10.64,10.65,0.81,1.63,-161.51,6.09,15882101237.0,15882101237.0,-0.09,0.19,32.29,-9.66
3757,002091,江苏国泰,7.68,-0.78,-0.06,223865.0,173055089.85,1.81,7.81,7.67,7.71,7.74,0.63,1.4,10.56,0.82,12500088998.0,12266765030.0,0.0,0.13,27.15,3.36
3764,002518,科士达,18.99,-0.78,-0.15,48529.0,92731406.57,1.83,19.3,18.95,19.1,19.14,0.65,0.86,23.24,2.55,11056454535.0,10733108387.0,0.0,0.05,26.01,-30.06
3781,688097,博众精工,25.97,-0.8,-0.21,74666.0,195589563.0,3.17,26.58,25.75,25.98,26.18,0.79,1.68,34.27,2.69,11599442457.0,11520902685.0,-0.04,0.15,30.11,-22.22
3792,300672,国科微,66.15,-0.81,-0.54,53029.0,355215828.24,2.98,67.85,65.86,66.54,66.69,1.13,2.52,153.85,3.53,14363855453.0,13898105805.0,0.03,0.23,43.24,12.81
3796,600877,电科芯片,13.44,-0.81,-0.11,147680.0,199527963.0,2.21,13.65,13.35,13.51,13.55,0.92,1.48,202.46,6.49,15915206079.0,13398998686.0,0.0,0.07,34.4,-3.93
3801,688016,心脉医疗,103.41,-0.82,-0.85,11368.0,117777974.0,1.06,104.25,103.14,104.0,104.26,0.59,0.92,17.28,3.28,12746535519.0,12746535519.0,0.01,-0.06,26.88,-18.54
3808,301015,百洋医药,27.74,-0.82,-0.23,19769.0,54943889.0,2.22,28.12,27.5,27.94,27.97,0.83,0.38,17.06,6.6,14580518240.0,14580518240.0,0.14,0.18,30.91,-20.97
3809,000676,智度股份,9.63,-0.82,-0.08,486743.0,472629295.1,3.4,9.9,9.57,9.74,9.71,0.62,3.85,58.86,3.09,12184735140.0,12170249483.0,0.1,0.21,69.84,10.31
3823,601101,昊华能源,8.29,-0.84,-0.07,73880.0,61485106.0,1.08,8.36,8.27,8.35,8.36,0.63,0.51,8.0,0.99,11937582807.0,11937582807.0,-0.12,-0.12,-4.93,38.86
3824,002946,新乳业,13.0,-0.84,-0.11,52452.0,68649668.6,2.9,13.3,12.92,13.02,13.11,0.99,0.62,17.71,3.82,11188746413.0,11070495644.0,0.08,0.15,62.09,14.74
3837,688347,华虹公司,46.72,-0.85,-0.4,133043.0,626474756.0,3.88,48.28,46.45,47.02,47.12,0.69,3.4,104.17,1.84,80272451832.0,18288076800.0,0.11,0.19,57.68,9.62
3839,000537,中绿电,9.31,-0.85,-0.08,85764.0,80259850.54,1.6,9.43,9.28,9.38,9.39,0.7,0.42,15.76,0.99,19240067897.0,19240014830.0,0.11,0.22,11.63,-1.48
3842,300454,深信服,63.81,-0.85,-0.55,32063.0,206851438.0,2.56,65.36,63.71,64.68,64.36,0.68,1.16,-34.67,3.27,26798331133.0,17635947863.0,0.03,-0.03,38.78,-11.67
3867,600821,金开新能,5.61,-0.88,-0.05,125731.0,70893158.0,1.59,5.68,5.59,5.65,5.66,0.8,0.63,11.26,1.22,11204647971.0,11204647971.0,0.0,0.0,10.87,-5.71
